Date,Description,Type,Amount,Reference,Merchant,Category
01/05/2025,ALKTAH ALSARGY ,DEBIT,12,,,
01/05/2025,ALKTAH ALSARGY ,DEBIT,12,,,
01/06/2025,mama nora ,DEBIT,18,,,
01/08/2025,STC Prepaid ,DEBIT,17.25,,,
01/10/2025,LULU HYPER BATH ,DEBIT,32.63,,,
11/01/2025,Ballahmar ASRAR ALBASEM F ,DEBIT,71.3,,,
13/01/2025,ALKTAH ALSARGY ,DEBIT,15.5,,,
14/01/2025,Izdihar Al Riya ,DEBIT,15.5,,,
14/01/2025,Panda Retail Co ,DEBIT,16.18,,,
14/01/2025,STCC TTR-007700 ,DEBIT,8,,,
16/01/2025,ABEER ALSHAM RE ,DEBIT,6,,,
16/01/2025,Outgoing internal transfer ,DEBIT,33,,,
16/01/2025,mama nora ,DEBIT,27,,,
17/01/2025,STC Pay,DEBIT,100,,,
18/01/2025,ALKTAH ALSARGY ,DEBIT,23,,,
18/01/2025,Distinguished C ,DEBIT,15,,,
18/01/2025,Cash withdrawal - Local ATM ,DEBIT,100,,,
19/01/2025,Izdihar Al Riya ,DEBIT,6,,,
19/01/2025,AL HAMRA ALBUKH ,DEBIT,25,,,
22/01/2025,mama nora ,DEBIT,32,,,
23/01/2025,ABR ALTAWASEL C ,DEBIT,7,,,
25/01/2025,STCC TTR-007700 ,DEBIT,9,,,
26/01/2025,Payroll deposit ,CREDIT,10125,,,
26/01/2025,SADAD Payment ,DEBIT,142.97,,,
26/01/2025,Autolease Installment Payment ,DEBIT,1284,,,
26/01/2025,Izdihar Al Riya ,DEBIT,9.5,,,
26/01/2025,ENBD Payments ,DEBIT,2720,,,
27/01/2025,Payroll deposit ,CREDIT,10000,,,
27/01/2025,ALKTAH ALSARGY ,DEBIT,22,,,
28/01/2025,STC Pay ,DEBIT,4000,,,
28/01/2025,AL HAMRA ALBUKH ,DEBIT,49,,,
31/01/2025,LATHAT ALTHWAQA ,DEBIT,19,,,
31/01/2025,Panda Retail Co ,DEBIT,32.9,,,
31/01/2025,Alam Al Wesam C ,DEBIT,228.51,,,
31/01/2025,STCC TTR-007700 ,DEBIT,33.5,,,
01/02/25,ALKTAH ALSARGY ,DEBIT,13,,,
02/02/25,Cash withdrawal - Local ATM ,DEBIT,50,,,
02/02/25,mama nora ,DEBIT,16,,,
02/02/25,Izdihar Al Riya ,DEBIT,6,,,
02/02/25,STC Pay ,DEBIT,700,,,
02/02/25,Nesma United Co ,DEBIT,25,,,
02/02/25,cafe all ,DEBIT,27,,,
03/02/25,AL HAMRA ALBUKH ,DEBIT,22,,,
03/02/25,STC Pay ,DEBIT,4000,,,
03/02/25,STC Pay ,DEBIT,1000,,,
04/02/25,Izdihar Al Riya ,DEBIT,7,,,
04/02/25,STC Pay ,DEBIT,2500,,,
04/02/25,STC Pay ,DEBIT,2500,,,
05/02/25,ALKTAH ALSARGY ,DEBIT,13,,,
