Date,Description,Type,Amount,Reference,Merchant,Category
"Feb 5, 2025",POS purchase - Apple Pay,DEBIT,13,503616391498,ALKTAH ALSARGY,EXPENSE
"Feb 5, 2025",POS purchase - Apple Pay,DEBIT,11.5,503700023,Al Riya,EXPENSE
"Feb 6, 2025",POS purchase - Apple Pay,DEBIT,36,N/A,Cafe PINON,EXPENSE
"Feb 10, 2025",Izdihar Al Riya ,DEBIT,12.5,,,EXPENSE
"Feb 10, 2025",AL HAMRA ALBUKH ,DEBIT,23.5,,,EXPENSE
"Feb 10, 2025",POS purchase - Apple Pay,DEBIT,20,504118021019,Laila Ali Batou,EXPENSE
"Feb 11, 2025",ALKTAH ALSARGY ,DEBIT,22,,,EXPENSE
"Feb 11, 2025",ALDREES 93 ,DEBIT,19,,,EXPENSE
"Feb 10, 2025",AL HAMRA ALBUKH ,DEBIT,25,,,EXPENSE
"Feb 12, 2025",Izdihar Al Riya ,DEBIT,9.5,,,EXPENSE
"Feb 13, 2025",Grill Friends R ,DEBIT,21,,,EXPENSE
"Feb 16, 2025",OBEID SPECIALIZ ,DEBIT,17.25,,,EXPENSE
"Feb 10, 2025",OBEID SPECIALIZ ,DEBIT,27.6,,,EXPENSE
"Feb 16, 2025",OBEID SPECIALIZ ,DEBIT,7.93,,,EXPENSE
"Feb 17, 2025",mama nora ,DEBIT,12,,,EXPENSE
"Feb 17, 2025",Izdihar Al Riya ,DEBIT,12.95,,,EXPENSE
"Feb 17, 2025",Izdihar Al Riya ,DEBIT,10,,,EXPENSE
"Feb 18, 2025",company safrat ,DEBIT,75,,,EXPENSE
"Feb 22, 2025",National Parkin ,DEBIT,11.5,,,EXPENSE
"Feb 22, 2025",COMMERCIAL INST ,DEBIT,29,,,EXPENSE
"Feb 23, 2025",ALKTAH ALSARGY ,DEBIT,22,,,EXPENSE
"Feb 23, 2025",RESTURANT RAKAN ,DEBIT,21,,,EXPENSE
"Feb 26, 2025",Payroll deposit ,CREDIT,10125,,,EXPENSE
"Feb 26, 2025",SADAD Payment,DEBIT,1819,160000002033609,ENBD Payments,EXPENSE
"Feb 26, 2025",POS purchase - Apple Pay,DEBIT,2500,505704108977,stc Pay,EXPENSE
"Feb 26, 2025",SNB Payment Systems ,DEBIT,1284,,,EXPENSE
"Feb 26, 2025",SNB Payment Systems ,DEBIT,2500,,,EXPENSE
"Feb 26, 2025",POS purchase - Apple Pay,DEBIT,13.17,505707769532,OBEID SPECIALIZ,EXPENSE
"Feb 26, 2025",BLUE RIBBON RES ,DEBIT,18,,,EXPENSE
"Feb 26, 2025",BLUE RIBBON RES ,DEBIT,3,,,EXPENSE
"Feb 27, 2025",ALDREES PTROLEU ,DEBIT,1,,,EXPENSE
"Mar 2, 2025",Cash withdrawal - Local ATM ,DEBIT,100,,,EXPENSE
"Mar 5, 2025",POS purchase - Apple Pay,DEBIT,750,506419242079,STC Pay,EXPENSE
