Date,Description,Type,Amount,Reference,Merchant,Category
"Jan 5, 2025",ALKTAH ALSARGY ,DEBIT,12,,,
"Jan 5, 2025",ALKTAH ALSARGY ,DEBIT,12,,,
"Jan 6, 2025",mama nora ,DEBIT,18,,,
"Jan 8, 2025",STC Prepaid ,DEBIT,17.25,,,
"Jan 10, 2025",LULU HYPER BATH ,DEBIT,32.63,,,
"Jan 11, 2025",Ballahmar ASRAR ALBASEM F ,DEBIT,71.3,,,
"Jan 13, 2025",ALKTAH ALSARGY ,DEBIT,15,,,
"Jan 14, 2025",Izdihar Al Riya ,DEBIT,15.5,,,
"Jan 14, 2025",Panda Retail Co ,DEBIT,16.18,,,
"Jan 14, 2025",STCC TTR-007700 ,DEBIT,8,,,
"Jan 16, 2025",ABEER ALSHAM RE ,DEBIT,6,,,
"Jan 16, 2025",Outgoing internal transfer ,DEBIT,33,,,
"Jan 16, 2025",mama nora ,DEBIT,27,,,
"Jan 17, 2025",STC Pay,DEBIT,100,,,
"Jan 18, 2025",ALKTAH ALSARGY ,DEBIT,23,,,
"Jan 18, 2025",Distinguished C ,DEBIT,15,,,
"Jan 18, 2025",Cash withdrawal - Local ATM ,DEBIT,100,,,
"Jan 19, 2025",Izdihar Al Riya ,DEBIT,6,,,
"Jan 19, 2025",AL HAMRA ALBUKH ,DEBIT,25,,,
"Jan 22, 2025",mama nora ,DEBIT,32,,,
"Jan 23, 2025",ABR ALTAWASEL C ,DEBIT,7,,,
"Jan 25, 2025",STCC TTR-007700 ,DEBIT,9,,,
"Jan 26, 2025",Payroll deposit ,CREDIT,10125,,,
"Jan 26, 2025",SADAD Payment ,DEBIT,142.97,,,
"Jan 26, 2025",Autolease Installment Payment ,DEBIT,1284,,,
"Jan 26, 2025",Izdihar Al Riya ,DEBIT,9.5,,,
"Jan 26, 2025",ENBD Payments ,DEBIT,2720,,,
"Jan 27, 2025",Payroll deposit ,CREDIT,10000,,,
"Jan 27, 2025",ALKTAH ALSARGY ,DEBIT,22,,,
"Jan 28, 2025",STC Pay ,DEBIT,4000,,,
"Jan 28, 2025",AL HAMRA ALBUKH ,DEBIT,49,,,
"Jan 31, 2025",LATHAT ALTHWAQA ,DEBIT,19,,,
"Jan 31, 2025",Panda Retail Co ,DEBIT,32.9,,,
"Jan 31, 2025",Alam Al Wesam C ,DEBIT,228.51,,,
"Jan 31, 2025",STCC TTR-007700 ,DEBIT,33.5,,,
"Jan 2, 2025",ALKTAH ALSARGY ,DEBIT,13,,,
"Feb 2, 2025",Cash withdrawal - Local ATM ,DEBIT,50,,,
"Feb 2, 2025",mama nora ,DEBIT,16,,,
"Feb 2, 2025",Izdihar Al Riya ,DEBIT,6,,,
"Feb 2, 2025",STC Pay ,DEBIT,700,,,
"Feb 2, 2025",Nesma United Co ,DEBIT,25,,,
"Feb 2, 2025",cafe all ,DEBIT,27,,,
"Feb 3, 2025",AL HAMRA ALBUKH ,DEBIT,22,,,
"Feb 3, 2025",STC Pay ,DEBIT,4000,,,
"Feb 3, 2025",STC Pay ,DEBIT,1000,,,
"Feb 4, 2025",Izdihar Al Riya ,DEBIT,7,,,
"Feb 4, 2025",STC Pay ,DEBIT,2500,,,
"Feb 4, 2025",STC Pay ,DEBIT,2500,,,
"Feb 5, 2025",ALKTAH ALSARGY ,DEBIT,13,,,
